COD_setor;sexo;faixa_etaria;tipo_domicilio;id_domicilio
160050105000001;M;3;permanente;38.0
160050105000001;M;3;permanente;78.0
160050105000001;F;4;permanente;74.0
160050105000001;F;0a;permanente;52.0
160050105000001;M;6;permanente;59.0
160050105000001;F;0b;permanente;180.0
160050105000001;F;0b;permanente;92.0
160050105000001;F;5;permanente;21.0
160050105000001;F;4;permanente;135.0
160050105000001;F;2b;permanente;104.0
160050105000001;F;5;permanente;61.0
160050105000001;M;0a;permanente;105.0
160050105000001;F;1a;permanente;122.0
160050105000001;F;0a;permanente;46.0
160050105000001;M;3;permanente;19.0
160050105000001;M;7;permanente;24.0
160050105000001;M;1a;permanente;112.0
160050105000001;M;4;permanente;189.0
160050105000001;F;4;permanente;134.0
160050105000001;M;6;permanente;34.0
160050105000001;M;1b;permanente;49.0
160050105000001;M;6;permanente;28.0
160050105000001;M;3;permanente;46.0
160050105000001;M;5;permanente;145.0
160050105000001;M;0a;permanente;175.0
160050105000001;F;4;permanente;190.0
160050105000001;M;4;permanente;177.0
160050105000001;F;3;permanente;47.0
160050105000001;M;0b;permanente;36.0
160050105000001;M;3;permanente;64.0
160050105000001;F;3;permanente;149.0
160050105000001;F;5;permanente;9.0
160050105000001;M;2a;permanente;159.0
160050105000001;F;1a;permanente;7.0
160050105000001;M;0a;permanente;137.0
160050105000001;M;1a;permanente;194.0
160050105000001;F;3;permanente;195.0
160050105000001;M;0a;permanente;46.0
160050105000001;F;6;permanente;160.0
160050105000001;F;3;permanente;158.0
160050105000001;M;2b;permanente;1.0
160050105000001;F;2b;permanente;3.0
160050105000001;M;6;permanente;150.0
160050105000001;F;2b;permanente;18.0
160050105000001;F;5;permanente;164.0
160050105000001;M;0a;permanente;50.0
160050105000001;F;3;permanente;142.0
160050105000001;F;2b;permanente;53.0
160050105000001;M;4;permanente;124.0
160050105000001;F;6;permanente;166.0
160050105000001;F;0a;permanente;138.0
160050105000001;F;0a;permanente;47.0
160050105000001;F;2a;permanente;130.0
160050105000001;F;2a;permanente;178.0
160050105000001;M;3;permanente;30.0
160050105000001;M;2b;permanente;71.0
160050105000001;M;2a;permanente;82.0
160050105000001;M;0b;permanente;157.0
160050105000001;F;1b;permanente;95.0
160050105000001;F;2a;permanente;102.0
160050105000001;M;5;permanente;144.0
160050105000001;M;0a;permanente;84.0
160050105000001;F;6;permanente;70.0
160050105000001;M;0b;permanente;109.0
160050105000001;M;5;permanente;36.0
160050105000001;M;3;permanente;86.0
160050105000001;M;0a;permanente;143.0
160050105000001;F;3;permanente;161.0
160050105000001;M;5;permanente;108.0
160050105000001;M;2b;permanente;129.0
160050105000001;M;1a;permanente;97.0
160050105000001;M;2a;permanente;12.0
160050105000001;F;0a;permanente;114.0
160050105000001;F;2a;permanente;57.0
160050105000001;M;1b;permanente;15.0
160050105000001;F;3;permanente;66.0
160050105000001;F;0b;permanente;27.0
160050105000001;F;1b;permanente;20.0
160050105000001;F;1b;permanente;100.0
160050105000001;F;3;permanente;67.0
160050105000001;M;0b;permanente;61.0
160050105000001;M;5;permanente;96.0
160050105000001;M;3;permanente;127.0
160050105000001;F;1b;permanente;193.0
160050105000001;M;2a;permanente;105.0
160050105000001;M;4;permanente;120.0
160050105000001;F;2a;permanente;162.0
160050105000001;F;0b;permanente;93.0
160050105000001;F;6;permanente;106.0
160050105000001;F;4;permanente;163.0
160050105000001;F;2a;permanente;168.0
160050105000001;M;4;permanente;72.0
160050105000001;M;1b;permanente;10.0
160050105000001;F;5;permanente;93.0
160050105000001;F;7;permanente;173.0
160050105000001;F;6;permanente;41.0
160050105000001;F;7;permanente;60.0
160050105000001;M;5;permanente;25.0
160050105000001;F;2a;permanente;140.0
160050105000001;M;1a;permanente;73.0
160050105000001;M;0a;permanente;40.0
160050105000001;M;5;permanente;191.0
160050105000001;M;0b;permanente;89.0
160050105000001;M;7;permanente;55.0
160050105000001;F;1a;permanente;88.0
160050105000001;F;1b;permanente;115.0
160050105000001;M;2b;permanente;33.0
160050105000001;M;5;permanente;138.0
160050105000001;M;4;permanente;2.0
160050105000001;M;1a;permanente;179.0
160050105000001;F;5;permanente;75.0
160050105000001;M;4;permanente;118.0
160050105000001;M;5;permanente;176.0
160050105000001;F;4;permanente;17.0
160050105000001;M;2b;permanente;192.0
160050105000001;M;3;permanente;171.0
160050105000001;M;2a;permanente;184.0
160050105000001;M;2a;permanente;119.0
160050105000001;F;6;permanente;56.0
160050105000001;F;0b;permanente;46.0
160050105000001;M;5;permanente;32.0
160050105000001;F;0b;permanente;138.0
160050105000001;M;2a;permanente;13.0
160050105000001;F;4;permanente;62.0
160050105000001;F;1a;permanente;157.0
160050105000001;M;2a;permanente;136.0
160050105000001;F;2b;permanente;63.0
160050105000001;F;0b;permanente;0.0
160050105000001;F;3;permanente;143.0
160050105000001;F;3;permanente;103.0
160050105000001;F;0b;permanente;81.0
160050105000001;F;0b;permanente;50.0
160050105000001;F;1a;permanente;84.0
160050105000001;M;1a;permanente;40.0
160050105000001;F;0a;permanente;22.0
160050105000001;F;3;permanente;81.0
160050105000001;M;7;permanente;0.0
160050105000001;M;4;permanente;45.0
160050105000001;M;5;permanente;188.0
160050105000001;F;1a;permanente;165.0
160050105000001;F;4;permanente;167.0
160050105000001;F;7;permanente;131.0
160050105000001;F;4;permanente;182.0
160050105000001;M;7;permanente;141.0
160050105000001;F;3;permanente;101.0
160050105000001;F;3;permanente;35.0
160050105000001;F;4;permanente;132.0
160050105000001;F;2b;permanente;152.0
160050105000001;F;6;permanente;51.0
160050105000001;F;5;permanente;117.0
160050105000001;F;0a;permanente;29.0
160050105000001;F;1b;permanente;154.0
160050105000001;F;1b;permanente;175.0
160050105000001;M;0a;permanente;161.0
160050105000001;M;1a;permanente;109.0
160050105000001;F;5;permanente;91.0
160050105000001;F;4;permanente;90.0
160050105000001;F;0b;permanente;153.0
160050105000001;M;1b;permanente;79.0
160050105000001;F;2b;permanente;76.0
160050105000001;F;1a;permanente;111.0
160050105000001;M;0b;permanente;193.0
160050105000001;F;3;permanente;110.0
160050105000001;F;4;permanente;94.0
160050105000001;F;2b;permanente;137.0
160050105000001;F;4;permanente;107.0
160050105000001;M;4;permanente;186.0
160050105000001;F;3;permanente;29.0
160050105000001;M;4;permanente;14.0
160050105000001;M;3;permanente;16.0
160050105000001;M;4;permanente;23.0
160050105000001;M;4;permanente;123.0
160050105000001;M;1a;permanente;11.0
160050105000001;M;2b;permanente;85.0
160050105000001;M;1a;permanente;113.0
160050105000001;F;3;permanente;52.0
160050105000001;F;0a;permanente;157.0
160050105000001;M;3;permanente;80.0
160050105000001;M;4;permanente;170.0
160050105000001;F;0b;permanente;184.0
160050105000001;F;2b;permanente;54.0
160050105000001;F;1b;permanente;31.0
160050105000001;F;0a;permanente;22.0
160050105000001;F;5;permanente;4.0
160050105000001;F;3;permanente;37.0
160050105000001;F;0b;permanente;70.0
160050105000001;M;2a;permanente;125.0
160050105000001;M;3;permanente;26.0
160050105000001;M;0b;permanente;107.0
160050105000001;M;3;permanente;181.0
160050105000001;F;5;permanente;128.0
160050105000001;M;3;permanente;87.0
160050105000001;M;1a;permanente;58.0
160050105000001;F;2b;permanente;133.0
160050105000001;F;0a;permanente;186.0
160050105000001;M;2b;permanente;155.0
160050105000001;M;2b;permanente;197.0
160050105000001;M;1b;permanente;172.0
160050105000001;F;2a;permanente;99.0
160050105000001;F;5;permanente;153.0
160050105000001;M;3;permanente;27.0
160050105000001;M;1b;permanente;187.0
160050105000001;F;3;permanente;183.0
160050105000001;M;2a;permanente;43.0
160050105000001;F;0a;permanente;193.0
160050105000001;M;2b;permanente;77.0
